gx,gy,gz,acx,acy,acz,time,,,,,,,,,,,,,,,,,,,
34.36,1.28,1.71,0.1,-0.83,0.5,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-40.71,-82.58,18.92,0.02,-1.19,0.49,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-74.65,44.43,102.97,0.01,-1.03,0.27,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-73.91,35.77,68.6,0.17,-1.16,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-25.21,6.23,56.27,0.04,-0.95,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
6.84,-37.23,5.49,0.02,-0.89,0.23,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
66.65,-25.15,-99.79,0.02,-0.76,0.5,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
63.11,-47.12,-103.76,-0.17,-1.09,0.5,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
26.86,115.36,-69.34,0.05,-0.86,0.42,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
9.16,87.28,-9.28,0.11,-0.8,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
7.57,42.11,42.18,0.03,-1,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
10.07,13.12,67.26,-0.04,-0.96,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-20.14,-82.95,24.72,0.05,-1.12,0.34,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-37.66,-30.15,3.78,-0.09,-0.9,0.23,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-12.27,50.29,-3.54,0.12,-0.87,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.01,-26.49,-19.96,0.09,-0.84,0.24,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
45.17,-39.18,-63.23,0.1,-1,0.33,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
25.94,-15.26,-75.56,-0.02,-1.2,0.51,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
0.73,-66.83,92.16,-0.19,-0.8,0.36,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-51.39,-2.14,8.91,-0.46,-0.93,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-15.26,80.57,24.66,-0.34,-0.88,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
6.41,105.53,-8.73,0.13,-0.91,0.2,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
15.5,-81.6,-36.56,0.03,-0.86,0.35,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
49.44,-46.69,-19.59,0,-0.75,0.47,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-14.47,-86.18,-2.87,0.03,-1.22,0.52,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-55.79,22.77,74.1,-0.02,-1.15,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-78.8,36.62,58.96,0.12,-1.15,0.23,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-51.45,29.24,65.12,0.05,-0.96,0.14,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-9.28,-1.34,15.75,0.09,-0.95,0.17,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
45.41,-8.67,-40.04,0,-0.72,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
70.25,-76.17,-82.64,-0.01,-1.04,0.5,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
39.98,29.36,-69.52,-0.16,-0.88,0.51,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
4.09,103.15,-31.86,0.09,-0.85,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
3.54,65.67,5.68,0.17,-1.03,0.41,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
5.43,13.37,54.93,0.09,-0.91,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-17.94,-57.37,68.18,0.06,-1.12,0.34,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-46.45,15.26,45.78,-0.09,-0.92,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-7.08,116.76,-17.52,0.16,-0.8,0.14,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.19,-41.81,-86,0.24,-0.97,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
35.16,-76.6,-79.53,0.19,-1.05,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
15.14,-47.67,-21.36,0.24,-1.13,0.52,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-23.07,-60.42,41.14,0.09,-0.95,0.48,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-88.26,-114.87,123.84,-0.07,-1.03,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-94.36,41.14,79.04,-0.1,-0.92,0.08,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
19.71,38.45,71.41,0.12,-0.67,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
79.65,-102.72,-32.1,0.21,-0.8,0.25,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
88.81,-230.59,-61.71,0.02,-1.12,0.5,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
29.54,-134.83,8.79,-0.05,-0.97,0.56,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-16.78,-109.62,33.2,0.02,-0.91,0.44,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-53.34,-79.41,12.27,0.06,-1.16,0.36,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-69.03,-31.86,35.03,0.06,-1.06,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-28.69,-6.84,19.78,0.2,-0.92,0.06,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
16.05,-86.49,21.79,0.2,-1.05,0.08,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
40.83,-92.77,91,0.07,-1.03,0.18,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
46.26,-94.48,112.85,0.12,-1.13,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
17.76,-141.91,101.68,-0.24,-0.98,0.42,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
17.15,-15.93,-1.71,-0.04,-0.87,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
26.92,-41.2,-65.37,0.06,-0.95,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
26.73,-84.78,-76.17,0.16,-0.99,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-7.93,-92.59,-31.37,0.03,-0.93,0.46,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-43.09,-69.7,2.32,0.13,-1.08,0.56,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-75.38,14.83,40.41,0.05,-0.95,0.44,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-61.89,20.81,71.35,0.05,-1,0.35,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-26.73,6.9,89.84,-0.02,-1.03,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
33.2,27.47,13.37,-0.2,-0.76,0.55,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
24.6,-44.01,-72.08,-0.3,-0.96,0.42,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
0.61,20.08,-93.38,-0.28,-0.86,0.58,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
7.08,73.12,-60.73,0.07,-0.76,0.44,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
28.99,0.24,-39.92,0.05,-0.78,0.55,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.25,-19.59,12.15,-0.21,-0.79,0.63,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
6.71,34.97,25.51,-0.21,-0.76,0.58,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
13.43,-28.99,10.25,-0.01,-0.76,0.58,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
20.45,-47.24,-4.82,-0.11,-1.01,0.56,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-6.41,48.77,22.52,-0.23,-1.03,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-10.25,110.53,61.77,-0.14,-1.01,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-29.36,-58.23,12.82,0.01,-1.01,0.28,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-26.37,-58.11,6.1,-0.15,-1,0.27,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
15.69,82.7,1.4,0.05,-0.81,0.25,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
53.96,-96.37,-44.19,0.12,-0.95,0.35,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
35.1,-88.99,-38.02,-0.18,-0.97,0.47,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
8.79,67.5,-0.79,-0.16,-1.1,0.62,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-27.1,91.61,40.22,-0.37,-0.75,0.14,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
4.15,75.2,-12.88,-0.03,-0.81,0.28,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
34.24,-30.21,-57.13,-0.02,-0.79,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
46.63,-40.95,-49.01,-0.02,-1.04,0.55,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-6.29,77.88,11.47,-0.08,-1.09,0.46,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-24.29,67.14,78.67,0.04,-1.04,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-63.78,-8,43.21,-0.11,-1.12,0.2,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-30.64,59.14,24.17,0.02,-0.8,0.12,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
11.17,-43.03,-18.25,0.17,-0.88,0.17,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
44.43,-106.26,-8.12,0.05,-0.86,0.3,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
50.66,-48.95,-9.09,0.03,-1.05,0.45,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
34.79,33.08,-49.87,0,-1.41,0.51,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-1.71,-98.51,44.13,-0.08,-0.8,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-69.46,156.92,-1.53,-0.31,-0.94,0.01,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-22.16,105.96,21.06,-0.11,-0.86,0.15,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
18.68,-47.85,-56.34,0,-0.86,0.27,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
35.52,-92.04,-39.67,-0.08,-0.92,0.45,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
21.18,-16.85,14.34,0.15,-1.21,0.58,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-52.86,-1.16,38.39,-0.07,-0.96,0.4,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-66.35,9.09,82.76,0.21,-1.27,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-75.2,-25.63,74.4,-0.03,-0.96,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-24.17,58.23,51.21,0.01,-0.97,0.17,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
22.95,-60.61,-61.65,-0.02,-1.09,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
49.74,-66.77,-73.61,-0.31,-0.61,0.44,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
13.12,48.28,-90.45,-0.04,-0.95,0.52,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
22.83,100.16,11.29,0.09,-0.86,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
29.79,-12.08,-2.38,-0.06,-0.81,0.47,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
28.75,-46.51,-2.32,-0.06,-0.86,0.57,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
18.49,-37.78,-13.92,0,-0.92,0.51,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-23.25,41.14,89.23,-0.28,-0.99,0.05,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
16.66,55.6,35.83,0.26,-0.95,0.08,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-8.42,-216.98,6.9,-0.02,-1.09,0.15,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-6.53,3.17,16.48,-0.12,-0.91,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
11.9,53.04,-24.96,0.18,-0.88,0.24,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
21.97,-63.35,-56.27,0.11,-1.05,0.36,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-4.52,-12.45,-48.46,-0.09,-1.3,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-26.86,82.64,23.32,0.07,-0.47,0.32,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-27.34,29.48,32.9,-0.25,-0.87,0.23,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
13.12,111.21,-15.2,-0.01,-0.84,0.32,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
28.87,-72.57,-55.6,0.04,-0.8,0.28,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
51.09,-116.7,-49.56,0.07,-1,0.56,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
8.48,15.69,-9.64,-0.08,-1.32,0.59,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-52.25,106.57,94.24,-0.1,-1,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-43.21,53.22,122.92,0.01,-1.17,0.18,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-30.15,-0.67,41.08,-0.25,-0.8,-0.06,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.5,-5.37,-81.85,0.18,-0.89,0.07,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
53.89,-231.93,-77.51,0.13,-1.15,0.27,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
46.45,119.75,13.73,-0.11,-1.05,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
5.13,99,-59.2,0.3,-1.15,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-1.71,-38.51,-79.9,0.17,-1.42,0.59,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-54.75,-115.72,117.43,-0.28,-0.79,0.13,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-120.3,70.19,-14.95,-0.34,-1,-0.08,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
26.61,77.33,41.38,-0.54,-0.73,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
20.39,75.44,-64.33,0.27,-0.92,0.33,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
42.24,-163.21,-53.89,-0.12,-0.94,0.52,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
34.55,-25.02,-3.36,0.1,-0.76,0.48,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-25.21,-73.3,19.59,0,-1.19,0.53,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-67.08,22.95,84.23,-0.04,-1.09,0.32,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-61.71,74.34,83.56,0.09,-1.21,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-33.26,-2.99,45.17,0.06,-0.9,0.11,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
7.69,-18.86,-5.49,-0.1,-1,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
56.34,5.19,-81.97,0.01,-0.9,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
69.21,-87.16,-97.23,-0.06,-1.04,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
42.97,68.18,-70.92,-0.12,-0.87,0.53,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
5.86,100.22,-7.26,0.1,-0.78,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
0.73,63.17,21.12,0.1,-1,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
12.33,9.77,68.6,0.11,-1.04,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-42.6,-139.16,63.17,-0.09,-1.16,0.3,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-53.47,-10.31,30.33,-0.08,-0.86,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-3.23,19.59,-12.57,0.18,-0.77,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
29.48,-62.5,-38.57,0.02,-0.86,0.24,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
53.89,-9.7,-79.9,0.06,-1.17,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
38.45,-31.49,-23.19,-0.13,-0.85,0.63,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-29.79,-22.16,56.76,-0.41,-0.84,0.18,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-35.4,30.09,1.83,-0.46,-0.9,0.15,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-0.49,98.08,-1.65,-0.15,-0.83,0.14,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
30.03,3.05,-32.84,-0.04,-0.9,0.35,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
41.26,-64.03,-15.87,0.06,-0.75,0.49,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
8.3,-98.88,4.15,-0.02,-1.31,0.59,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-59.45,29.66,65.86,-0.08,-0.97,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-81.85,1.59,39.61,0.18,-1.31,0.28,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-73.73,41.02,70.68,-0.05,-1.03,0.13,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-16.24,96.68,29.11,-0.16,-0.93,0.11,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
49.93,18.25,-92.65,0.04,-0.67,0.36,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
74.65,-118.16,-161.5,-0.1,-1.21,0.43,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
61.58,103.94,-75.32,0.05,-0.92,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
35.77,51.33,-31.37,0.3,-0.77,0.48,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-32.29,-5.92,94.85,-0.04,-0.91,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-81.85,23.38,171.69,0.07,-1.47,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-66.83,0.55,108.58,0.03,-0.91,0.15,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-10.5,16.66,7.02,0.07,-0.59,0.12,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
63.66,-33.69,-109.13,0.36,-0.76,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
115.48,-135.8,-142.58,0.16,-1.16,0.63,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
61.1,52.86,-54.99,-0.02,-1.44,0.56,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-11.9,67.5,10.99,0,-0.77,0.32,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-33.87,61.22,9.83,-0.27,-0.97,0.14,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
9.16,41.5,6.59,-0.27,-0.9,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
29.36,11.05,-43.09,-0.05,-0.98,0.3,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
16.66,-54.69,-31.92,0.02,-0.92,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
11.78,-2.32,2.14,0.08,-0.75,0.41,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-43.58,-68.85,25.45,0.03,-1.13,0.41,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-64.76,48.46,100.71,0.07,-1.3,0.36,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-71.41,-16.3,101.75,0.03,-1.17,0.2,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-57.07,26.61,83.62,-0.18,-0.86,0.09,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
11.29,118.84,-48.1,0.1,-1.02,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
69.64,-179.2,-117.13,-0.02,-0.84,0.32,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
77.94,129.09,-121.89,-0.12,-1.04,0.47,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.93,94.3,-44.86,0.1,-0.88,0.37,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
23.19,81.24,13.12,0.14,-0.99,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
5.49,17.46,115.84,0.04,-1.12,0.38,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-38.45,-37.41,80.2,-0.1,-1.14,0.21,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-21.48,100.04,-12.88,0.1,-0.82,0.07,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
15.81,-38.15,-134.16,0.21,-1.1,0.19,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
21.97,-17.33,-62.44,-0.03,-0.99,0.3,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
3.42,52.19,-5.8,0.24,-1.11,0.33,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-12.08,-14.89,17.76,0.04,-1.04,0.41,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-58.11,-72.2,69.95,-0.42,-0.88,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
2.93,92.96,0.73,-0.18,-0.77,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
33.87,-14.71,-57.25,0.11,-0.91,0.31,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
42.11,-64.64,-33.51,0.01,-0.95,0.46,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
18.74,7.45,10.74,0.01,-0.89,0.52,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-14.59,24.23,37.29,0.01,-1.19,0.39,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
-31.01,101.26,58.53,-0.09,-1.03,0.16,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
4.94,82.21,37.35,0.05,-0.85,0.08,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
1.22,-36.68,-22.16,0.02,-1.08,-0.02,28/3/2022 9:26,,,,,,,,,,,,,,,,,,,
27.89,0.18,-28.14,0.07,-1.03,0.07,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
23.19,-86.55,-34.79,0.19,-1.01,0.17,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-2.32,15.99,-13.98,0,-1.01,0.21,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-14.16,53.04,-2.01,0.17,-1,0.16,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-20.14,26.06,-33.33,0.14,-1.1,0.14,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
0.49,13.37,-45.84,0.17,-1.46,0.23,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
22.77,-95.95,39.25,0.02,-0.67,0.45,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-58.47,-95.28,-3.05,-0.56,-1.02,0.12,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-38.45,88.56,39,-0.31,-0.88,-0.04,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
26.12,110.29,-2.5,-0.17,-0.89,0.18,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
28.08,-80.87,-50.11,-0.04,-0.95,0.35,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
21.36,19.17,-9.89,0.09,-0.85,0.45,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-18.62,12.39,27.34,0.02,-1.2,0.34,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-29.54,113.95,101.75,-0.04,-1.12,0.22,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-2.14,-16.48,73.18,0.23,-1.02,0.17,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-10.31,-142.27,6.29,0.04,-0.94,0.14,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-4.09,-39.67,-38.7,0.03,-0.93,0.2,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
9.4,40.89,-46.63,0.1,-0.87,0.21,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
24.17,14.71,-56.52,0.17,-0.98,0.27,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
27.1,-8.18,-39.86,0.11,-1.05,0.41,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
9.58,18.31,-42.66,0.05,-1.18,0.45,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
4.88,7.87,15.08,0.09,-0.98,0.46,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-72.63,64.39,42.79,-0.56,-0.99,0.02,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-2.2,152.22,12.51,-0.23,-0.84,0.26,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-21.91,41.75,-67.5,0.14,-0.85,0.28,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
33.69,-96.92,-79.22,0.1,-0.93,0.31,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
44.86,-70.5,-25.82,0,-0.86,0.47,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
10.07,-11.35,30.76,0.05,-0.98,0.5,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-38.7,48.71,65.19,-0.06,-1.31,0.34,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-23.07,125.55,111.02,0,-1.01,0.23,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-8.97,-26.25,41.2,0.12,-0.96,0.1,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-20.51,-32.53,-23.56,-0.13,-0.88,-0.01,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
23.32,70.37,-75.13,0.2,-0.98,0.05,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
38.64,-110.35,-74.28,0.21,-1.05,0.19,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
23.8,-7.81,-16.24,-0.03,-1.01,0.33,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-9.22,74.34,-3.54,0.15,-1.08,0.35,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-21.24,-11.47,-27.4,0.15,-1.08,0.34,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-2.56,-55.24,-9.4,0.07,-1.1,0.4,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-68.48,-69.76,81.73,-0.67,-0.6,-0.23,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
-34.3,83.13,2.14,-0.39,-0.88,0.14,28/3/2022 9:27,,,,,,,,,,,,,,,,,,,
